altitude,counts
500.89275,22
503.992,10
500.50325,4
493.896,22
492.189,11
497.843,3
506.736,15
519.48775,14
535.082,26
550.62625,23
562.38575,14
568.62575,12
569.88775,4
574.39425,4
581.7195,3
591.47925,14
600.45025,7
610.1965,14
623.92575,28
634.81375,9
479.1905,4
482.6235,0
481.86675,5
480.6995,18
482.8865,9
491.92625,23
503.83525,21
514.00475,5
525.0485,8
536.27925,11
546.86025,12
556.26525,8
563.8595,1
576.80975,9
583.41475,8
588.11475,10
600.639,7
611.32525,8
619.39375,10
625.03725,6
458.55525,3
464.305,5
468.06625,12
472.58,3
479.467,2
487.72725,11
498.426,5
513.768,10
527.608,9
533.2755,6
542.035,6
557.7605,13
573.334,13
588.87725,9
595.32525,13
597.00625,7
607.516,23
617.812,28
620.53125,3
623.7835,17
457.818,6
465.1585,1
471.54325,2
478.304,4
482.7545,9
490.0925,13
505.426,14
522.525,16
537.145,12
544.4465,12
550.87525,2
562.96425,14
579.67825,12
597.40725,13
609.59825,12
612.077,24
616.448,6
628.57375,11
636.086,10
640.20325,30
473.53,15
480.97425,12
487.109,9
494.1875,11
496.16825,15
499.9105,7
514.06875,10
528.73925,6
542.43,6
555.96825,14
562.928,9
569.70975,11
582.312,8
597.91875,14
614.93425,12
625.48525,16
628.7705,9
634.7355,3
643.97675,1
653.0545,54
481.3975,21
492.5655,19
501.14075,16
509.267,17
512.772,22
510.41325,2
518.1295,11
532.3995,17
545.53275,13
561.08575,25
573.398,29
584.038,17
594.20325,17
603.09075,19
617.381,36
634.50625,22
643.84775,29
647.37875,33
652.511,24
662.0135,40
478.92075,18
495.282,23
505.3355,27
514.01975,28
523.3365,13
525.076,11
528.56025,11
539.30275,20
551.94625,26
567.04025,17
581.783,21
593.72975,24
604.13725,29
613.2755,20
624.92825,38
638.57375,11
648.73875,16
653.61525,16
659.1635,25
668.54875,39
472.135,15
485.79,29
495.045,38
508.35225,59
525.53,43
536.89975,28
542.52775,16
551.761,28
563.791,37
573.3195,30
581.74925,36
588.569,27
598.5145,17
611.05275,25
622.28275,25
631.9645,12
639.54075,17
645.99575,9
654.08925,26
662.36525,20
461.554,1
473.11525,8
488.30625,10
506.077,45
522.03825,41
534.673,28
547.357,46
560.29675,33
567.0185,22
566.35275,16
567.47525,10
572.54775,10
584.24925,16
600.2435,9
610.91225,9
618.03225,7
625.2775,11
633.2255,5
642.08,11
650.28825,18
461.84725,6
469.487,1
483.99225,16
499.86,20
514.1105,18
529.57325,23
547.1185,48
558.65575,33
556.55175,24
552.28775,6
557.574,2
567.997,5
582.04725,11
598.80825,15
612.076,20
617.54625,14
623.051,16
632.2745,10
639.58625,4
641.5455,8
477.39925,11
477.3205,2
481.55125,0
494.58425,10
512.69825,24
528.94675,31
544.5725,33
548.78025,23
543.0655,2
547.39325,8
562.2705,10
578.668,12
594.49075,13
609.43125,13
622.92425,24
626.18525,33
629.479,9
642.8685,14
652.3575,16
651.4935,11
496.51025,17
491.942,4
486.1595,0
495.0595,21
509.08475,21
519.5835,13
534.3325,20
536.78225,9
536.89875,8
551.22675,24
570.70425,9
589.1545,41
604.7715,32
619.08275,60
632.0795,41
635.58625,33
636.19275,7
644.5505,16
656.153,14
664.68775,23
515.25225,29
506.6575,16
493.25625,4
492.11625,5
500.34125,3
509.36425,2
519.647,18
525.69075,1
535.78125,7
554.4895,7
572.532,11
587.6555,11
603.843,30
621.3145,30
635.83025,39
644.34775,25
646.2015,30
646.114,8
651.87775,10
659.687,9
528.57925,32
521.7535,11
507.81525,5
499.06825,4
502.5755,4
513.05425,17
519.0585,2
528.72475,2
539.898,10
552.32725,12
569.36475,16
584.80525,21
601.8645,17
617.8685,26
629.75675,13
640.77175,43
650.83125,46
651.8135,9
653.40775,16
660.9955,18
536.228,12
537.13275,16
525.282,13
515.68775,7
512.21575,5
522.1335,22
534.0885,26
543.19775,14
549.5115,21
553.86775,0
565.75475,3
580.18675,8
595.53675,18
609.2875,20
622.84125,17
636.65125,34
649.5115,48
655.2625,51
658.49275,18
666.869,23
541.6765,15
549.952,9
542.4835,13
534.09725,14
527.66125,7
531.025,34
545.48725,24
556.3545,30
563.27075,37
564.16025,0
569.26775,16
580.42675,8
589.42,13
603.434,5
623.0865,28
641.25375,46
654.83525,73
663.5295,67
667.53075,23
673.9695,21
542.9565,33
555.85125,13
557.46825,37
553.0655,34
546.7155,18
541.70425,6
550.227,32
566.9705,60
579.734,48
579.47375,8
579.39775,14
590.56575,19
597.6645,13
607.14525,15
622.60075,7
640.8495,24
658.166,60
669.86525,65
678.48625,28
687.64125,13
537.30975,46
552.58375,29
564.41375,9
568.3245,42
564.34575,22
555.03475,31
555.663,26
571.94225,69
590.21075,69
594.16125,17
589.1085,13
596.3575,14
608.38425,28
618.927,49
629.123,17
639.57025,10
651.30525,16
664.10525,9
678.699,20
693.04575,22
531.5205,42
547.90125,34
564.5295,22
576.17825,16
578.46175,25
571.734,32
566.26825,14
575.1575,63
594.0675,52
603.84225,19
601.3375,7
605.804,16
618.25775,24
630.703,68
643.69125,68
650.87475,66
656.29875,17
666.30025,10
679.21675,23
693.2575,19
537.87475,83
552.52325,42
567.5845,23
577.954,22
582.73525,22
583.70775,20
579.434,17
582.288,52
598.3465,42
611.7305,16
613.49675,12
618.227,21
629.74025,29
638.26275,42
648.0595,44
659.4865,69
671.33675,30
681.8755,14
693.15875,5
702.35925,3
545.66625,56
558.45475,72
568.60525,34
571.811,23
573.89325,26
583.378,28
590.4,27
593.80875,58
604.57775,45
617.66425,24
623.46075,16
628.78075,13
639.333,23
648.17525,83
654.24825,83
663.00125,32
677.36975,18
691.878,8
703.26575,4
710.575,14
541.32275,25
553.3495,27
558.73925,36
559.22825,14
565.015,23
579.942,33
595.5455,22
601.664,45
606.91775,14
616.8265,10
623.02425,33
628.87625,25
638.188,32
650.76175,67
662.7765,54
671.307,17
680.3275,10
689.155,72
696.029,21
703.67625,38
531.59125,64
540.912,36
542.9885,28
548.93075,9
562.68725,47
577.09225,26
588.171,21
595.24025,52
601.6375,16
606.805,25
610.66525,31
616.62925,37
627.12325,21
642.401,42
658.858,72
669.3595,29
672.5175,65
674.8965,35
679.90925,13
688.108,14
519.6415,30
527.42525,7
533.92075,10
547.5495,42
559.937,38
566.415,14
572.976,10
585.65375,26
593.639,15
592.34925,11
596.918,21
608.1295,12
623.15875,42
640.27875,30
654.81475,44
657.28525,27
653.6285,13
659.9825,4
671.58675,7
682.08275,9
505.271,15
516.598,17
531.64,26
544.0085,31
549.99575,9
556.25875,9
568.391,7
583.1235,14
584.38025,27
581.82725,16
593.03825,10
609.92225,45
626.901,48
640.79425,42
650.1655,59
646.7005,19
642.3995,10
653.705,48
669.371,52
682.9285,35
507.31675,15
520.25825,8
532.74475,8
540.1655,4
546.26575,3
557.71975,11
571.404,19
577.83575,17
573.2975,11
576.854,14
593.07125,18
609.10975,28
623.98425,54
632.319,40
638.77825,41
636.7805,16
634.4905,5
647.73625,41
664.195,63
678.90675,84
514.05,50
525.4265,25
536.02075,25
544.1435,11
551.869,21
561.86625,19
568.62025,15
565.56375,9
565.54975,7
577.23475,9
590.742,30
602.96675,26
614.53975,49
619.5445,18
626.80825,24
627.25425,12
626.10625,4
640.73775,9
655.04825,29
665.5955,81
503.93675,15
519.54525,32
532.11375,9
538.80975,13
545.55075,14
554.2625,27
556.8575,16
555.81275,4
566.9915,12
580.6745,31
588.199,22
595.488,33
601.35925,20
606.1215,10
622.17525,23
624.1895,11
621.39975,5
634.0685,12
639.8895,12
644.6255,19
495.763,13
512.70575,19
520.783,13
523.28725,15
531.496,5
541.7865,10
547.7165,4
556.69025,8
569.7055,24
575.862,15
579.1705,10
582.86125,17
584.2,16
590.5545,15
607.54075,26
612.76025,5
612.8,9
620.2015,8
624.23925,7
630.77475,11
493.97775,8
503.048,18
504.9055,9
511.79675,2
522.5155,15
531.64225,17
542.20925,17
554.316,21
561.19075,19
564.8835,11
568.499,17
567.8095,13
568.7785,1
577.96825,4
590.781,7
600.021,3
605.57925,3
614.05375,2
625.1735,9
635.98375,8
